Sample,X,Y,Z
712,0.328,-0.148,1.125
713,0.391,0.039,1.094
714,0.219,0.012,1.059
715,0.102,0.145,0.957
716,-0.074,-0.066,0.961
717,-0.125,0.102,0.965
718,-0.223,0.273,0.910
719,0.000,-0.262,1.090
720,0.055,-0.207,0.918
721,0.168,0.051,1.113
722,0.102,-0.086,1.043
723,-0.051,0.176,1.035
724,-0.141,0.086,0.910
725,-0.031,-0.090,1.059
726,0.000,-0.137,1.031
727,-0.121,0.043,0.969
728,-0.168,0.207,0.977
729,-0.109,0.117,0.867
730,0.223,0.059,1.078
731,0.316,0.199,0.918
732,0.180,0.121,1.121
733,0.055,-0.020,1.000
734,0.031,0.281,0.891
735,0.020,-0.125,1.090
736,-0.020,0.035,0.938
737,-0.020,-0.074,1.059
738,-0.227,-0.223,0.840
739,-0.012,0.188,1.012
740,0.148,0.184,1.066
741,0.297,0.316,1.008
742,0.172,-0.094,1.113
743,-0.176,-0.305,0.984
744,-0.258,-0.039,1.004
745,-0.117,-0.133,1.020
746,0.125,0.105,1.023
747,0.191,0.266,0.934
748,0.051,-0.109,1.035
749,-0.078,0.004,0.941
750,-0.238,0.004,0.930
751,0.055,-0.039,1.043
752,0.309,0.125,1.016
753,0.328,0.281,1.105
754,0.000,0.059,0.859
755,0.020,-0.094,1.098
756,-0.117,0.148,0.867
757,0.090,-0.090,1.082
758,0.141,0.047,0.992
759,0.102,0.043,1.027
760,0.039,0.008,1.051
761,0.008,0.082,1.027
762,-0.043,0.121,0.941
763,-0.023,-0.008,0.992
764,-0.066,-0.125,1.012
765,-0.145,0.008,0.926
766,-0.121,0.086,0.992
767,0.020,-0.152,0.996
768,0.195,0.270,1.062
769,0.184,0.223,1.090
770,-0.078,0.008,0.855
771,-0.109,-0.023,1.082
772,-0.160,-0.230,0.898
773,0.098,-0.137,1.141
774,0.105,0.191,0.820
775,0.168,0.238,1.047
776,0.195,0.207,1.023
777,0.203,0.230,0.859
778,0.324,-0.043,1.230
779,0.195,-0.250,1.012
780,0.086,-0.160,1.207
781,-0.125,-0.180,0.910
782,-0.234,0.523,0.824
783,-0.312,0.633,0.762
784,0.008,-0.082,1.027
785,0.332,-0.293,1.203
786,0.137,-0.422,1.215
787,-0.027,-0.113,0.961
788,-0.199,0.254,0.941
789,-0.242,0.367,0.828
790,0.012,0.156,1.074
791,0.062,-0.434,1.184
792,-0.258,-0.273,0.852
793,-0.355,0.215,0.859
794,-0.098,-0.078,0.969
795,0.520,0.488,1.043
796,0.605,0.281,1.121
797,0.223,-0.145,1.086
798,-0.055,0.070,0.957
799,-0.223,-0.027,0.871
800,0.074,-0.004,1.043
801,0.277,0.137,1.027
802,0.359,-0.137,1.148
803,0.039,0.277,0.785
804,-0.094,0.344,0.996
805,0.020,0.023,0.953
806,0.277,-0.156,1.215
807,0.062,-0.074,1.059
808,-0.137,-0.383,1.070
809,-0.273,0.195,0.879
810,-0.145,0.422,0.930
811,-0.051,0.004,0.980
812,-0.023,-0.141,1.098
813,-0.164,-0.141,0.926
814,-0.125,-0.199,1.082
815,-0.094,0.254,0.883
816,0.141,0.379,1.008
817,0.207,0.020,0.965
818,0.008,-0.090,1.027
819,-0.148,0.176,0.969
820,-0.008,-0.434,0.879
821,0.402,0.066,1.062
822,0.480,0.312,1.117
823,0.270,0.141,1.020
824,-0.020,0.191,0.961
825,-0.223,-0.121,0.926
826,-0.004,-0.168,0.988
827,0.277,0.184,1.121
828,0.301,-0.137,1.000
829,0.188,0.418,1.016
830,-0.086,0.012,0.980
831,-0.098,-0.125,1.023
832,-0.105,-0.039,0.941
833,-0.133,-0.047,1.004
834,-0.035,0.035,1.117
835,-0.074,0.016,0.941
836,-0.129,0.137,0.922
837,-0.168,0.156,0.984
838,-0.070,-0.262,1.016
839,0.102,0.141,1.051
840,0.062,-0.039,0.867
841,0.230,0.227,1.117
842,0.086,0.031,0.945
843,-0.012,0.137,1.059
844,-0.133,-0.090,0.879
845,-0.031,-0.211,1.098
846,0.062,0.137,0.844
847,0.230,0.191,1.051
848,0.379,0.113,1.012
849,0.371,0.242,1.145
850,0.176,-0.047,1.000
851,-0.098,0.145,0.992
852,-0.340,-0.125,0.977
853,-0.266,-0.191,0.922
854,0.027,-0.066,1.066
855,0.023,0.074,0.984
856,0.059,0.105,0.992
857,-0.004,0.156,0.988
858,-0.070,-0.086,1.023
859,-0.004,-0.094,0.938
860,0.059,0.188,1.117
861,-0.098,-0.078,0.965
862,0.008,0.148,0.922
863,0.098,0.008,1.059
864,0.145,-0.090,0.984
865,0.188,0.172,1.023
866,0.105,-0.059,1.043
867,0.137,0.008,0.906
868,0.141,0.223,0.977
869,0.016,0.160,0.918
870,0.043,0.168,1.160
871,-0.031,-0.184,0.875
872,0.164,-0.176,1.164
873,0.012,0.066,0.949
874,0.031,0.121,1.031
875,-0.055,0.148,0.930
876,-0.020,0.027,1.062
877,0.000,-0.152,1.062
878,-0.086,0.055,0.945
879,-0.340,0.070,0.957
880,-0.293,-0.055,0.902
881,-0.027,0.145,1.055
882,0.125,0.008,0.992
883,0.211,-0.121,1.059
884,0.156,0.160,0.965
885,0.125,0.164,1.043
886,0.125,0.027,1.012
887,-0.066,0.176,0.938
888,-0.098,0.035,1.008
889,-0.012,-0.312,1.012
890,0.211,0.016,1.016
891,0.137,0.254,1.047
892,0.113,-0.148,1.016
893,0.168,0.176,1.000
894,0.047,0.004,1.016
895,0.000,0.039,1.008
896,0.016,0.129,0.941
897,-0.043,-0.012,1.027
898,0.043,-0.129,1.020
899,0.203,0.059,1.105
900,0.094,0.281,0.867
901,0.047,-0.074,1.070
902,-0.109,0.207,0.902
903,-0.031,0.246,0.977
904,0.016,-0.242,0.996
905,0.047,0.070,1.184
906,-0.203,-0.062,0.883
907,-0.055,-0.219,1.027
908,0.031,0.273,1.000
909,-0.016,0.105,0.980
910,0.133,-0.102,1.062
911,0.078,-0.113,0.996
912,-0.082,-0.016,0.887
913,0.000,0.410,0.965
914,0.066,0.047,1.094
915,0.086,-0.043,1.008
916,0.215,0.016,1.055
917,0.141,-0.164,1.047
918,0.000,0.242,0.824
919,-0.031,0.160,1.043
920,-0.004,-0.090,0.957
921,0.160,0.031,1.086
922,0.082,-0.062,1.051
923,-0.070,0.059,0.844
924,0.023,0.320,1.047
925,0.176,0.031,1.012
926,0.309,-0.109,1.176
927,-0.078,-0.129,0.895
928,-0.176,-0.207,1.051
929,-0.102,0.148,0.867
930,0.164,0.414,1.055
931,0.125,0.020,1.031
932,-0.020,-0.074,1.023
933,-0.184,-0.336,0.910
934,0.008,-0.051,1.137
935,0.062,0.344,0.898
936,0.109,0.207,0.988
937,-0.043,0.039,1.008
938,-0.121,-0.195,1.039
939,0.039,0.039,0.914
940,0.129,0.066,1.109
941,-0.047,0.152,0.949
942,-0.062,-0.055,1.070
943,-0.008,-0.148,0.945
944,0.059,0.234,0.965
