Sample,X,Y,Z
850,-0.086,0.086,0.934
851,-0.055,-0.227,1.035
852,0.078,0.102,1.023
853,0.039,0.273,0.945
854,0.027,-0.027,1.055
855,-0.008,-0.195,1.016
856,-0.004,0.141,0.922
857,0.113,0.121,0.906
858,0.219,0.176,1.023
859,0.305,0.234,1.043
860,0.219,-0.004,1.004
861,0.117,-0.074,1.094
862,-0.055,-0.035,0.938
863,-0.059,0.051,1.051
864,-0.039,-0.078,1.004
865,-0.051,0.023,1.012
866,-0.148,-0.070,0.949
867,-0.070,-0.137,0.988
868,0.035,0.145,1.016
869,0.012,0.246,0.918
870,0.129,0.020,1.098
871,0.031,0.004,1.027
872,-0.035,-0.160,0.996
873,-0.043,0.047,1.000
874,-0.059,0.168,0.883
875,0.047,0.059,1.043
876,0.066,0.012,0.961
877,0.156,-0.184,1.078
878,0.148,-0.051,0.949
879,0.145,0.355,1.031
880,0.020,0.164,0.902
881,0.172,-0.086,1.098
882,0.289,-0.035,1.039
883,0.051,0.230,0.941
884,-0.062,0.160,0.984
885,-0.094,-0.207,1.016
886,-0.027,-0.117,1.059
887,-0.039,0.059,0.902
888,-0.035,0.059,1.113
889,-0.258,-0.133,0.836
890,-0.012,0.223,1.125
891,0.152,-0.031,1.066
892,0.176,-0.078,0.977
893,-0.047,0.305,0.953
894,-0.137,-0.043,0.996
895,-0.082,0.074,0.949
896,0.023,0.145,0.953
897,0.016,-0.156,1.023
898,-0.055,0.207,1.020
899,-0.137,-0.133,0.977
900,0.086,0.074,0.953
901,0.215,0.141,1.016
902,0.312,-0.117,1.109
903,0.312,-0.117,1.109
904,0.281,0.148,1.008
905,0.195,0.078,0.965
906,0.066,0.066,0.969
907,0.031,0.320,1.012
908,-0.109,-0.199,1.023
909,0.082,-0.312,1.094
910,0.098,0.156,0.934
911,-0.012,0.207,0.941
912,0.066,-0.027,1.121
913,-0.035,0.062,0.910
914,0.109,0.203,1.047
915,0.000,-0.168,0.977
916,-0.078,0.000,1.125
917,-0.254,0.238,0.734
918,-0.062,0.035,1.168
919,0.051,-0.160,0.941
920,0.043,0.246,0.965
921,-0.133,-0.109,0.953
922,-0.059,-0.246,1.023
923,0.105,0.234,1.004
924,0.047,0.180,0.906
925,0.270,0.047,1.180
926,0.160,0.035,0.996
927,0.035,0.031,1.020
928,-0.070,0.020,0.969
929,-0.086,-0.113,0.926
930,0.020,0.160,1.039
931,0.074,-0.047,0.895
932,0.281,0.125,1.172
933,0.160,0.258,0.910
934,0.105,0.191,1.043
935,-0.082,0.062,0.996
936,-0.016,-0.211,1.070
937,0.133,-0.332,1.066
938,-0.129,0.191,0.961
939,-0.172,-0.008,0.879
940,0.004,0.352,0.945
941,0.172,0.109,1.051
942,0.160,-0.039,1.066
943,0.090,-0.145,1.070
944,-0.113,0.055,0.875
